force,torque,pow,rpm,vel,uts,fpr
4062.3469,6.497,2.466584,2159.771,57.964,194.1913,0.026838031
3929.2678,6.586,2.466913,2162.2009,62.427,194.1913,0.02887197
3237.2566,5.963,2.465598,2549.6953,78.22,193.8919,0.030678176
5137.147,9.79,2.473161,1370.061,85.487,188.4414,0.062396492
7887.5469,8.9,2.459679,2146.429,102.596,211.9429,0.04779846
6627.9307,9.79,2.461323,1368.4156,102.425,233.2595,0.074849337
3563.2256,6.586,2.463954,1768.6538,41.771,190.3269,0.023617398
3873.0457,8.366,2.473819,1378.7948,43.201,191.0587,0.031332436
4541.1323,6.408,2.465927,2540.822,58.021,188.5268,0.022835523
3242.9387,6.141,2.463954,2162.8237,35.477,185.7625,0.016403094
4403.5674,7.476,2.460995,1762.21,59.109,197.9676,0.03354254
7157.8545,10.146,2.463954,1361.1572,98.648,233.2595,0.072473628
3300.0579,6.23,2.472503,2554.1177,51.384,186.0936,0.020118102
4697.5376,7.387,2.466584,2150.2651,83.027,207.3997,0.038612448
3069.1885,6.052,2.466584,2162.2502,40.97,185.7625,0.018947853
4623.6709,6.319,2.467242,2549.9451,59.91,188.5268,0.023494623
3020.4426,5.963,2.467242,2562.3542,40.626,178.4046,0.015854951
4991.2085,7.654,2.460666,1758.6986,51.212,195.139,0.029119259
5672.7524,16.999,2.458693,599.8222,40.741,210.0918,0.067921794
4428.0898,10.057,2.476449,999.325,50.812,224.5843,0.050846321
3415.792,6.141,2.473161,2557.4397,35.248,178.4046,0.013782534
5018.7217,18.512,2.477107,599.7536,50.869,214.6092,0.084816498
5106.6436,11.303,2.454747,998.749,44.289,225.5982,0.044344475
3731.8921,8.01,2.474147,1380.0398,43.659,199.8093,0.031636044
7299.3076,13.528,2.475463,996.5542,152.206,244.8175,0.152732285
4370.9707,6.853,2.469544,2158.8086,58.937,194.1913,0.027300707
3501.6204,6.23,2.460337,1774.418,49.553,195.139,0.02792634
5077.3364,7.921,2.467242,1764.6132,82.34,205.0572,0.046661784
3850.3174,6.23,2.463625,2163.9224,58.479,194.1913,0.027024537
5367.7173,14.507,2.259429,600.1561,42.286,210.0918,0.070458336
4231.6113,7.031,2.45935,1769.0378,40.512,190.3269,0.022900585
4815.0659,13.261,2.465927,997.9568,39.94,225.5982,0.040021772
7181.48,9.701,2.472174,1368.998,150.719,231.327,0.11009439
3879.9238,8.455,2.475134,1378.7618,39.425,191.0587,0.028594497
3811.1414,6.586,2.463954,1770.2126,48.752,195.139,0.027540195
6355.4927,7.387,2.4679,2548.019,204.277,225.6616,0.080170909
4920.6318,10.591,2.471188,999.3338,42,225.5982,0.042027999
4295.6089,6.23,2.462639,2557.6421,60.94,188.5268,0.023826633
3758.8069,6.319,2.45935,2551.9092,58.994,188.5268,0.023117594
6641.3887,9.523,2.469544,1371.6882,97.389,233.2595,0.070999371
3776.1521,6.675,2.460008,2163.1768,48.122,171.4773,0.022245986
5295.9443,8.01,2.462967,1762.8271,92.983,208.2467,0.052746523
4414.0342,6.497,2.472503,2555.0894,49.496,186.0936,0.019371534
5262.4507,7.209,2.463954,2155.7129,98.534,211.9429,0.045708313
4885.0444,7.832,2.460337,1764.1788,57.335,197.9676,0.03249954
6067.2051,12.549,2.461652,1001.2576,81.081,229.4368,0.080979161
5613.8389,12.638,2.474147,999.159,59.395,221.5021,0.059444993
4363.7935,8.366,2.470859,1375.948,39.253,191.0587,0.028527968
3226.1919,6.141,2.460008,1772.2244,94.929,208.2467,0.053564887
2938.5017,5.607,2.468886,2167.9463,47.665,171.4773,0.021986246
5786.9912,17.533,2.479408,599.8081,38.624,210.0918,0.064393929
6430.855,18.601,2.478093,599.7958,80.395,221.075,0.134037284
2625.9902,5.251,2.473161,2172.8167,58.136,194.1913,0.026756054
3381.999,6.141,2.464612,2166.4783,37.594,185.7625,0.017352586
5740.6377,17.622,2.479408,599.8858,41.256,210.0918,0.06877309
